Do you agree to participate in this survey?  ,Which faculty are you from?,What is your current year of study?,"In your own words, what does sustainability mean to you as a university student?  ","What do you know about the Sustainable Development Goals (SDGs), if any?  ",What is your overall opinion on Universiti Malaya’s efforts toward sustainability and the SDGs?  ,How satisfied are you with UM’s sustainability initiatives?  ,Can you describe any sustainability-related practices you personally follow as a UM student (or explain why you do not)?  ,Have you ever participated in sustainability-related activities or programs at UM?  ,What challenges or difficulties do you think prevent UM students from practicing sustainability on campus?  ,What suggestions do you have to improve sustainability practices and awareness among UM students?  ,Do you have any additional comments or opinions related to sustainability or the SDGs at Universiti Malaya?  ,raw_text,clean_text,label_id,label,sdg_topics_multi,wc_text
"Yes, I agree",Faculty of Computer Science and Information Technology,Year 3,using technology to make life better without killing the planet basically like finding ways to reduce energy consumption in data centres,i know there are 17 of them and they talk about things like sustainable cities and innovation which is relevant to my course,its decent i mean the campus is green but sometimes i feel like the faculties are very wasteful especially with electricity,3,i try to shut down the lab computers properly after use instead of just leaving them on sleep mode to save power,No,mostly ignorance i think like people dont realize how much energy they waste just by leaving the aircond on when the room is empty,maybe install smart sensors for the lights and ac in all lecture halls so they turn off automatically when nobody is there,hope to see more tech solutions for sustainability issues,using technology to make life better without killing the planet basically like finding ways to reduce energy consumption in data centres i know there are 17 of them and they talk about things like sustainable cities and innovation which is relevant to my course its decent i mean the campus is green but sometimes i feel like the faculties are very wasteful especially with electricity i try to shut down the lab computers properly after use instead of just leaving them on sleep mode to save power mostly ignorance i think like people dont realize how much energy they waste just by leaving the aircond on when the room is empty maybe install smart sensors for the lights and ac in all lecture halls so they turn off automatically when nobody is there hope to see more tech solutions for sustainability issues,using technology to make life better without killing the planet basically like finding way to reduce energy consumption in data centre i know there are 17 of them and they talk about thing like sustainable city and innovation which is relevant to my course it decent i mean the campus is green but sometimes i feel like the faculty are very wasteful especially with electricity i try to shut down the lab computer properly after use instead of just leaving them on sleep mode to save power mostly ignorance i think like people dont realize how much energy they waste just by leaving the aircond on when the room is empty maybe install smart sensor for the light and ac in all lecture hall so they turn off automatically when nobody is there hope to see more tech solution for sustainability issue,2,positive,"['SDG 4: Quality Education', 'SDG 7: Affordable and Clean Energy', 'SDG 9: Industry, Innovation and Infrastructure', 'SDG 11: Sustainable Cities and Communities', 'SDG 12: Responsible Consumption and Production']",using technology make life better killing planet basically like finding way reduce energy consumption data centre know 17 talk thing like sustainable city innovation relevant course decent mean campus green feel like faculty wasteful especially electricity try shut lab computer properly use instead just leaving sleep mode save power ignorance think like people dont realize energy waste just leaving aircond room maybe install smart sensor light ac lecture hall turn automatically hope tech solution sustainability issue
"Yes, I agree",Faculty of Science,Year 2,trying to prevent the campus from becoming a complete heat island but honestly it feels like a losing battle,i know sdg 15 is life on land but looking around here i see zero life just concrete and asphalt everywhere,what biodiversity are they talking about honestly it is just construction sites and parking lots replacing whatever trees we had left,2,i try to use natural light in the studio instead of switching on the lights but it gets too hot because there are no trees to shade the building,No,the environment is so sterile and hot there is no motivation to walk or be outside so everyone just drives from building to building,stop cutting down the remaining trees to build more faculties and maybe actually plant a real forest instead of decorative shrubs,the campus is turning into a concrete jungle very sad,trying to prevent the campus from becoming a complete heat island but honestly it feels like a losing battle i know sdg 15 is life on land but looking around here i see zero life just concrete and asphalt everywhere what biodiversity are they talking about honestly it is just construction sites and parking lots replacing whatever trees we had left i try to use natural light in the studio instead of switching on the lights but it gets too hot because there are no trees to shade the building the environment is so sterile and hot there is no motivation to walk or be outside so everyone just drives from building to building stop cutting down the remaining trees to build more faculties and maybe actually plant a real forest instead of decorative shrubs the campus is turning into a concrete jungle very sad,trying to prevent the campus from becoming a complete heat island but honestly it feel like a losing battle i know sdg 15 is life on land but looking around here i see zero life just concrete and asphalt everywhere what biodiversity are they talking about honestly it is just construction site and parking lot replacing whatever tree we had left i try to use natural light in the studio instead of switching on the light but it get too hot because there are no tree to shade the building the environment is so sterile and hot there is no motivation to walk or be outside so everyone just drive from building to building stop cutting down the remaining tree to build more faculty and maybe actually plant a real forest instead of decorative shrub the campus is turning into a concrete jungle very sad,2,positive,"['SDG 4: Quality Education', 'SDG 11: Sustainable Cities and Communities', 'SDG 15: Life on Land']",trying prevent campus complete heat island honestly feel like losing battle know sdg 15 life land looking zero life just concrete asphalt biodiversity talking honestly just construction site parking lot replacing tree left try use natural light studio instead switching light hot tree shade building environment sterile hot motivation walk outside just drive building building stop cutting remaining tree build faculty maybe actually plant real forest instead decorative shrub campus turning concrete jungle sad
"Yes, I agree",Faculty of Science,Year 4,preserving the biodiversity on campus and ensuring the ecosystem stays balanced so we don't lose the greenery,i am very familiar with sdg 14 life below water and sdg 15 life on land because i major in biology/ecology,the rimba ilmu is amazing and they protect the trees well but the cleanliness around the tasik varsiti is sometimes questionable,3,i avoid single use plastics for my lunch and i always bring my own metal spoon and fork so i dont use the plastic ones,No,the monkey problem honestly because they raid the open bins and make a huge mess so people give up on separating their trash,invest in animal proof bins so the macaques cannot scatter the rubbish everywhere which ruins the recycling efforts,please solve the monkey issue effectively,preserving the biodiversity on campus and ensuring the ecosystem stays balanced so we don't lose the greenery i am very familiar with sdg 14 life below water and sdg 15 life on land because i major in biology/ecology the rimba ilmu is amazing and they protect the trees well but the cleanliness around the tasik varsiti is sometimes questionable i avoid single use plastics for my lunch and i always bring my own metal spoon and fork so i dont use the plastic ones the monkey problem honestly because they raid the open bins and make a huge mess so people give up on separating their trash invest in animal proof bins so the macaques cannot scatter the rubbish everywhere which ruins the recycling efforts please solve the monkey issue effectively,preserving the biodiversity on campus and ensuring the ecosystem stay balanced so we dont lose the greenery i am very familiar with sdg 14 life below water and sdg 15 life on land because i major in biologyecology the rimba ilmu is amazing and they protect the tree well but the cleanliness around the tasik varsiti is sometimes questionable i avoid single use plastic for my lunch and i always bring my own metal spoon and fork so i dont use the plastic one the monkey problem honestly because they raid the open bin and make a huge mess so people give up on separating their trash invest in animal proof bin so the macaque cannot scatter the rubbish everywhere which ruin the recycling effort please solve the monkey issue effectively,2,positive,"['SDG 1: No Poverty', 'SDG 6: Clean Water and Sanitation', 'SDG 11: Sustainable Cities and Communities', 'SDG 12: Responsible Consumption and Production', 'SDG 15: Life on Land']",preserving biodiversity campus ensuring ecosystem stay balanced dont lose greenery familiar sdg 14 life water sdg 15 life land major biologyecology rimba ilmu amazing protect tree cleanliness tasik varsiti questionable avoid single use plastic lunch bring metal spoon fork dont use plastic monkey problem honestly raid open bin make huge mess people separating trash invest animal proof bin macaque scatter rubbish ruin recycling effort solve monkey issue effectively
"Yes, I agree",Faculty of Engineering,Year 2,optimizing the systems we use so we get the best output with the least amount of wasted energy or materials,i am mostly interested in sdg 7 affordable and clean energy because i want to specialize in renewable power systems later,i see the solar panels on the roof of our faculty which is good but inside the building the air conditioning is set so low it feels like a freezer which wastes so much power,3,i try to be mindful when doing lab experiments to not waste the chemical components or electronic parts but sometimes mistakes happen,No,the infrastructure is old so even if we want to save energy the machines themselves are not efficient compared to newer technology,conduct an energy audit of the faculty buildings and replace the old inefficiency motors and cooling systems,focus on engineering solutions rather than just awareness campaigns,optimizing the systems we use so we get the best output with the least amount of wasted energy or materials i am mostly interested in sdg 7 affordable and clean energy because i want to specialize in renewable power systems later i see the solar panels on the roof of our faculty which is good but inside the building the air conditioning is set so low it feels like a freezer which wastes so much power i try to be mindful when doing lab experiments to not waste the chemical components or electronic parts but sometimes mistakes happen the infrastructure is old so even if we want to save energy the machines themselves are not efficient compared to newer technology conduct an energy audit of the faculty buildings and replace the old inefficiency motors and cooling systems focus on engineering solutions rather than just awareness campaigns,optimizing the system we use so we get the best output with the least amount of wasted energy or material i am mostly interested in sdg 7 affordable and clean energy because i want to specialize in renewable power system later i see the solar panel on the roof of our faculty which is good but inside the building the air conditioning is set so low it feel like a freezer which waste so much power i try to be mindful when doing lab experiment to not waste the chemical component or electronic part but sometimes mistake happen the infrastructure is old so even if we want to save energy the machine themselves are not efficient compared to newer technology conduct an energy audit of the faculty building and replace the old inefficiency motor and cooling system focus on engineering solution rather than just awareness campaign,2,positive,"['SDG 4: Quality Education', 'SDG 7: Affordable and Clean Energy', 'SDG 9: Industry, Innovation and Infrastructure', 'SDG 11: Sustainable Cities and Communities', 'SDG 12: Responsible Consumption and Production']",optimizing use best output wasted energy material interested sdg 7 affordable clean energy want specialize renewable power later solar panel roof faculty good inside building air conditioning set low feel like freezer waste power try mindful doing lab experiment waste chemical component electronic mistake happen infrastructure old want save energy machine efficient compared newer technology conduct energy audit faculty building replace old inefficiency motor cooling focus engineering solution just awareness campaign
"Yes, I agree",Faculty of Business and Economics,Year 2,It means keeping the campus clean and not being wasteful.,I have seen the colourful posters around campus but I don't know the specific goals.,"They are doing okay, the campus looks green enough.",3,I use an iPad for notes so I don't waste paper.,No,"Laziness, it is easier to just throw trash in the nearest bin.",put more recycling bins near the lecture halls.,no,"It means keeping the campus clean and not being wasteful. I have seen the colourful posters around campus but I don't know the specific goals. They are doing okay, the campus looks green enough. I use an iPad for notes so I don't waste paper. Laziness, it is easier to just throw trash in the nearest bin. put more recycling bins near the lecture halls. no",it mean keeping the campus clean and not being wasteful i have seen the colourful poster around campus but i dont know the specific goal they are doing okay the campus look green enough i use an ipad for note so i dont waste paper laziness it is easier to just throw trash in the nearest bin put more recycling bin near the lecture hall no,2,positive,"['SDG 11: Sustainable Cities and Communities', 'SDG 12: Responsible Consumption and Production']",mean keeping campus clean wasteful seen colourful poster campus dont know specific goal doing okay campus look green use ipad note dont waste paper laziness easier just throw trash nearest bin recycling bin near lecture hall
"Yes, I agree",Faculty of Language and Linguistics,Year 1,It means not destroying the environment around us.,"I know they are global goals from the UN, but I don't know the list.","It seems average, I see some efforts here and there.",3,I refill my water bottle at the cooler instead of buying new ones.,No,Not enough water coolers in some buildings.,Install more water dispensers on every floor.,no,"It means not destroying the environment around us. I know they are global goals from the UN, but I don't know the list. It seems average, I see some efforts here and there. I refill my water bottle at the cooler instead of buying new ones. Not enough water coolers in some buildings. Install more water dispensers on every floor. no",it mean not destroying the environment around u i know they are global goal from the un but i dont know the list it seems average i see some effort here and there i refill my water bottle at the cooler instead of buying new one not enough water cooler in some building install more water dispenser on every floor no,1,neutral,"['SDG 6: Clean Water and Sanitation', 'SDG 11: Sustainable Cities and Communities']",mean destroying environment u know global goal dont know list average effort refill water bottle cooler instead buying new water cooler building install water dispenser floor
"Yes, I agree",Faculty of Arts and Social Sciences,Year 3,Being eco-friendly and not polluting the campus.,I know they are important goals but I don't know the exact names.,"It is fine, nothing special.",3,I try to switch off the lights when leaving my room.,No,Lack of interest.,Post more about it on Instagram.,No.,"Being eco-friendly and not polluting the campus. I know they are important goals but I don't know the exact names. It is fine, nothing special. I try to switch off the lights when leaving my room. Lack of interest. Post more about it on Instagram. No.",being ecofriendly and not polluting the campus i know they are important goal but i dont know the exact name it is fine nothing special i try to switch off the light when leaving my room lack of interest post more about it on instagram no,2,positive,['SDG 11: Sustainable Cities and Communities'],ecofriendly polluting campus know important goal dont know exact fine special try switch light leaving room lack post instagram
"Yes, I agree",Faculty of Education,Year 2,It means protecting the environment for the future.,"I know they are about making the world better, but I don't know the specifics.","It is okay, but could be more visible.",3,I walk to class sometimes instead of taking the bus.,No,The weather is too hot to walk or cycle.,Build more covered walkways.,nope,"It means protecting the environment for the future. I know they are about making the world better, but I don't know the specifics. It is okay, but could be more visible. I walk to class sometimes instead of taking the bus. The weather is too hot to walk or cycle. Build more covered walkways. nope",it mean protecting the environment for the future i know they are about making the world better but i dont know the specific it is okay but could be more visible i walk to class sometimes instead of taking the bus the weather is too hot to walk or cycle build more covered walkway nope,1,neutral,['SDG 11: Sustainable Cities and Communities'],mean protecting environment future know making world better dont know specific okay visible walk class instead taking bus weather hot walk cycle build covered walkway nope
"Yes, I agree",Faculty of Pharmacy,Year 1,Not wasting things like water and electricity.,I know they exist but I don't know what they are exactly.,It is average.,3,I try not to waste water when taking ablution.,No,People just forget to be mindful.,Put up more posters to remind us.,No.,Not wasting things like water and electricity. I know they exist but I don't know what they are exactly. It is average. I try not to waste water when taking ablution. People just forget to be mindful. Put up more posters to remind us. No.,not wasting thing like water and electricity i know they exist but i dont know what they are exactly it is average i try not to waste water when taking ablution people just forget to be mindful put up more poster to remind u no,2,positive,"['SDG 6: Clean Water and Sanitation', 'SDG 7: Affordable and Clean Energy', 'SDG 12: Responsible Consumption and Production']",wasting thing like water electricity know exist dont know exactly average try waste water taking ablution people just forget mindful poster remind u
"Yes, I agree",Faculty of Science,Year 3,Protecting the nature and campus environment.,I have heard of them but I don't know the details.,It is satisfactory.,3,I recycle my paper notes when I can.,No,It is hard to find recycling bins nearby.,Add more bins in the hallways.,Keep improving!,Protecting the nature and campus environment. I have heard of them but I don't know the details. It is satisfactory. I recycle my paper notes when I can. It is hard to find recycling bins nearby. Add more bins in the hallways. Keep improving!,protecting the nature and campus environment i have heard of them but i dont know the detail it is satisfactory i recycle my paper note when i can it is hard to find recycling bin nearby add more bin in the hallway keep improving,2,positive,"['SDG 11: Sustainable Cities and Communities', 'SDG 12: Responsible Consumption and Production', 'SDG 15: Life on Land']",protecting nature campus environment heard dont know satisfactory recycle paper note hard recycling bin nearby add bin hallway improving
"Yes, I agree",Faculty of Computer Science and Information Technology,Year 2,Keeping the environment clean and green.,I have heard the name but I am not sure what they are exactly.,"It is okay, acceptable.",3,I turn off the fans and lights in my room when I leave.,No,Students are too busy with assignments to care.,More awareness campaigns.,No.,"Keeping the environment clean and green. I have heard the name but I am not sure what they are exactly. It is okay, acceptable. I turn off the fans and lights in my room when I leave. Students are too busy with assignments to care. More awareness campaigns. No.",keeping the environment clean and green i have heard the name but i am not sure what they are exactly it is okay acceptable i turn off the fan and light in my room when i leave student are too busy with assignment to care more awareness campaign no,2,positive,"['SDG 4: Quality Education', 'SDG 11: Sustainable Cities and Communities']",keeping environment clean green heard sure exactly okay acceptable turn fan light room leave student busy assignment care awareness campaign
"Yes, I agree",Faculty of Computer Science and Information Technology,Year 1,taking care of earth so next time got nice place to live and study,heard about it in orientation week but forgot which number is which one just know its about saving world,very good i like how um always organize run and got free tshirt and medal for eco run last time,5,i join the gotong royong cleaning programme last sem it was fun and i pick up rubbish around the lake,Yes,maybe students shy to join activities or lazy to walk far to throw rubbish,give more free gift for people who recycle sure many people will do it,keep it up um is the best,taking care of earth so next time got nice place to live and study heard about it in orientation week but forgot which number is which one just know its about saving world very good i like how um always organize run and got free tshirt and medal for eco run last time i join the gotong royong cleaning programme last sem it was fun and i pick up rubbish around the lake maybe students shy to join activities or lazy to walk far to throw rubbish give more free gift for people who recycle sure many people will do it keep it up um is the best,taking care of earth so next time got nice place to live and study heard about it in orientation week but forgot which number is which one just know it about saving world very good i like how um always organize run and got free tshirt and medal for eco run last time i join the gotong royong cleaning programme last sem it wa fun and i pick up rubbish around the lake maybe student shy to join activity or lazy to walk far to throw rubbish give more free gift for people who recycle sure many people will do it keep it up um is the best,2,positive,['SDG 12: Responsible Consumption and Production'],taking care earth time got nice place live study heard orientation week forgot number just know saving world good like um organize run got free tshirt medal eco run time join gotong royong cleaning programme sem wa fun pick rubbish lake maybe student shy join activity lazy walk far throw rubbish free gift people recycle sure people um best
"Yes, I agree",Faculty of Computer Science and Information Technology,Year 2,means we use stuff now but dont finish everything so got leftover for future people,i saw the colorful poster at library got 17 boxes but i just scan through only,not bad la especially the zero waste campaign i see many people bring own bottle now,4,mostly i submit assignment online only no need print paper save trees and save my money also,No,sometimes the recycling bin too far from lecture hall so people just throw in normal bin because lazy,maybe make a mobile app to track points when we recycle can redeem food voucher at cafe,noper,means we use stuff now but dont finish everything so got leftover for future people i saw the colorful poster at library got 17 boxes but i just scan through only not bad la especially the zero waste campaign i see many people bring own bottle now mostly i submit assignment online only no need print paper save trees and save my money also sometimes the recycling bin too far from lecture hall so people just throw in normal bin because lazy maybe make a mobile app to track points when we recycle can redeem food voucher at cafe noper,mean we use stuff now but dont finish everything so got leftover for future people i saw the colorful poster at library got 17 box but i just scan through only not bad la especially the zero waste campaign i see many people bring own bottle now mostly i submit assignment online only no need print paper save tree and save my money also sometimes the recycling bin too far from lecture hall so people just throw in normal bin because lazy maybe make a mobile app to track point when we recycle can redeem food voucher at cafe noper,2,positive,"['SDG 2: Zero Hunger', 'SDG 4: Quality Education', 'SDG 12: Responsible Consumption and Production']",mean use stuff dont finish got leftover future people saw colorful poster library got 17 box just scan bad la especially zero waste campaign people bring bottle submit assignment online need print paper save tree save money recycling bin far lecture hall people just throw normal bin lazy maybe make mobile app track point recycle redeem food voucher cafe noper
"Yes, I agree",Faculty of Computer Science and Information Technology,Year 2,sing technology to help earth so we dont waste resources simply,know a bit from website but cannot remember all 17 just remember the green color logo,ok la um try hard also i see got solar panel near engineering side quite cool,4,i dont use paper at all everything on ipad or laptop easier to submit code also,No,lab aircond always very cold even when nobody there waste electric crazy,make apps for student to report leaking pipe or rubbish so maintenance can come fast,hope um can be more high tech in sustainability next time,sing technology to help earth so we dont waste resources simply know a bit from website but cannot remember all 17 just remember the green color logo ok la um try hard also i see got solar panel near engineering side quite cool i dont use paper at all everything on ipad or laptop easier to submit code also lab aircond always very cold even when nobody there waste electric crazy make apps for student to report leaking pipe or rubbish so maintenance can come fast hope um can be more high tech in sustainability next time,sing technology to help earth so we dont waste resource simply know a bit from website but cannot remember all 17 just remember the green color logo ok la um try hard also i see got solar panel near engineering side quite cool i dont use paper at all everything on ipad or laptop easier to submit code also lab aircond always very cold even when nobody there waste electric crazy make apps for student to report leaking pipe or rubbish so maintenance can come fast hope um can be more high tech in sustainability next time,2,positive,"['SDG 7: Affordable and Clean Energy', 'SDG 9: Industry, Innovation and Infrastructure', 'SDG 12: Responsible Consumption and Production']",sing technology help earth dont waste resource simply know bit website remember 17 just remember green color logo ok la um try hard got solar panel near engineering quite cool dont use paper ipad laptop easier submit code lab aircond cold waste electric crazy make apps student report leaking pipe rubbish maintenance come fast hope um high tech sustainability time
"Yes, I agree",Faculty of Computer Science and Information Technology,Year 3,balancing our development with nature so we dont destroy the planet for next generation,i know about sdg 11 sustainable cities because covered in one of my electives but others not so sure,overall positive especially the cashless initiative in cafe reduces receipt paper waste,4,i bring my own container for lunch sometimes to avoid using the polystyrene or plastic box,Yes,sometimes difficult to find proper place to throw electronic waste like old batteries or mouse,put more e-waste bins at every faculty not just main library easier for us to recycle gadgets,maybe can upgrade the water cooler filters more often so we confident to refill water bottle,balancing our development with nature so we dont destroy the planet for next generation i know about sdg 11 sustainable cities because covered in one of my electives but others not so sure overall positive especially the cashless initiative in cafe reduces receipt paper waste i bring my own container for lunch sometimes to avoid using the polystyrene or plastic box sometimes difficult to find proper place to throw electronic waste like old batteries or mouse put more e-waste bins at every faculty not just main library easier for us to recycle gadgets maybe can upgrade the water cooler filters more often so we confident to refill water bottle,balancing our development with nature so we dont destroy the planet for next generation i know about sdg 11 sustainable city because covered in one of my elective but others not so sure overall positive especially the cashless initiative in cafe reduces receipt paper waste i bring my own container for lunch sometimes to avoid using the polystyrene or plastic box sometimes difficult to find proper place to throw electronic waste like old battery or mouse put more ewaste bin at every faculty not just main library easier for u to recycle gadget maybe can upgrade the water cooler filter more often so we confident to refill water bottle,2,positive,"['SDG 2: Zero Hunger', 'SDG 6: Clean Water and Sanitation', 'SDG 12: Responsible Consumption and Production', 'SDG 15: Life on Land']",balancing development nature dont destroy planet generation know sdg 11 sustainable city covered elective sure overall positive especially cashless initiative cafe reduces receipt paper waste bring container lunch avoid using polystyrene plastic box difficult proper place throw electronic waste like old battery mouse ewaste bin faculty just main library easier u recycle gadget maybe upgrade water cooler filter confident refill water bottle
"Yes, I agree",Faculty of Computer Science and Information Technology,Year 1,making sure we don't destroy the environment just because we want to develop new things,learned a bit in high school geography but in uni haven't really touched on it much yet,i think it is okay i like that the campus has a lot of trees and green areas compared to outside city,3,i try to walk from residential college to class if weather not too hot to save fuel and exercise,No,the weather in malaysia is too hot to walk everywhere so students prefer to drive or grab,maybe can improve the pedestrian walk have roof so people can walk more without getting sunburn,no comment just hope they maintain the trees well,making sure we don't destroy the environment just because we want to develop new things learned a bit in high school geography but in uni haven't really touched on it much yet i think it is okay i like that the campus has a lot of trees and green areas compared to outside city i try to walk from residential college to class if weather not too hot to save fuel and exercise the weather in malaysia is too hot to walk everywhere so students prefer to drive or grab maybe can improve the pedestrian walk have roof so people can walk more without getting sunburn no comment just hope they maintain the trees well,making sure we dont destroy the environment just because we want to develop new thing learned a bit in high school geography but in uni havent really touched on it much yet i think it is okay i like that the campus ha a lot of tree and green area compared to outside city i try to walk from residential college to class if weather not too hot to save fuel and exercise the weather in malaysia is too hot to walk everywhere so student prefer to drive or grab maybe can improve the pedestrian walk have roof so people can walk more without getting sunburn no comment just hope they maintain the tree well,2,positive,"['SDG 3: Good Health and Well-being', 'SDG 11: Sustainable Cities and Communities']",making sure dont destroy environment just want develop new thing learned bit high school geography uni havent really touched think okay like campus ha lot tree green area compared outside city try walk residential college class weather hot save fuel exercise weather malaysia hot walk student prefer drive grab maybe improve pedestrian walk roof people walk getting sunburn comment just hope maintain tree
"Yes, I agree",Faculty of Computer Science and Information Technology,Year 3,efficient use of resources like energy and time so nothing goes to waste,i know about sdg 9 industry innovation because relevant to tech but others just rough idea only,doing good job especially with the shuttle buses frequent enough so less students drive car,4,i always make sure to shut down the lab computers if i see people leave them on to save electricity,Yes,convenience is main issue because buying food with plastic is faster than washing own container,maybe give discount at cafe if use own tuition or tumbler then surely people will bring,um is moving in right direction just need more consistency,efficient use of resources like energy and time so nothing goes to waste i know about sdg 9 industry innovation because relevant to tech but others just rough idea only doing good job especially with the shuttle buses frequent enough so less students drive car i always make sure to shut down the lab computers if i see people leave them on to save electricity convenience is main issue because buying food with plastic is faster than washing own container maybe give discount at cafe if use own tuition or tumbler then surely people will bring um is moving in right direction just need more consistency,efficient use of resource like energy and time so nothing go to waste i know about sdg 9 industry innovation because relevant to tech but others just rough idea only doing good job especially with the shuttle bus frequent enough so less student drive car i always make sure to shut down the lab computer if i see people leave them on to save electricity convenience is main issue because buying food with plastic is faster than washing own container maybe give discount at cafe if use own tuition or tumbler then surely people will bring um is moving in right direction just need more consistency,2,positive,"['SDG 2: Zero Hunger', 'SDG 7: Affordable and Clean Energy', 'SDG 8: Decent Work and Economic Growth', 'SDG 9: Industry, Innovation and Infrastructure', 'SDG 11: Sustainable Cities and Communities', 'SDG 12: Responsible Consumption and Production']",efficient use resource like energy time waste know sdg 9 industry innovation relevant tech just rough idea doing good job especially shuttle bus frequent student drive car make sure shut lab computer people leave save electricity convenience main issue buying food plastic faster washing container maybe discount cafe use tuition tumbler surely people bring um moving right direction just need consistency
"Yes, I agree",Faculty of Computer Science and Information Technology,Year 3,it means we innovate and develop technology but must be eco friendly like green computing,yes i know about it since year 1 usually see in email blasts from student affairs but didn't read in detail,i think um is actually one of the best in malaysia for this the rimba project is very nice to walk through,5,mostly going paperless for my thesis and assignments i hate carrying heavy books anyway,No,lack of information like people dont know where the recycling center actually is so they just give up,maybe organize hackathon specifically for solving campus sustainability issues using ai or apps,proud to be um student seeing the green efforts keep it up,it means we innovate and develop technology but must be eco friendly like green computing yes i know about it since year 1 usually see in email blasts from student affairs but didn't read in detail i think um is actually one of the best in malaysia for this the rimba project is very nice to walk through mostly going paperless for my thesis and assignments i hate carrying heavy books anyway lack of information like people dont know where the recycling center actually is so they just give up maybe organize hackathon specifically for solving campus sustainability issues using ai or apps proud to be um student seeing the green efforts keep it up,it mean we innovate and develop technology but must be eco friendly like green computing yes i know about it since year 1 usually see in email blast from student affair but didnt read in detail i think um is actually one of the best in malaysia for this the rimba project is very nice to walk through mostly going paperless for my thesis and assignment i hate carrying heavy book anyway lack of information like people dont know where the recycling center actually is so they just give up maybe organize hackathon specifically for solving campus sustainability issue using ai or apps proud to be um student seeing the green effort keep it up,2,positive,"['SDG 9: Industry, Innovation and Infrastructure', 'SDG 11: Sustainable Cities and Communities', 'SDG 12: Responsible Consumption and Production']",mean innovate develop technology eco friendly like green computing yes know year 1 usually email blast student affair didnt read think um actually best malaysia rimba project nice walk going paperless thesis assignment hate carrying heavy book lack information like people dont know recycling center actually just maybe organize hackathon specifically solving campus sustainability issue using ai apps proud um student seeing green effort
"Yes, I agree",Faculty of Computer Science and Information Technology,Year 2,simply means not being wasteful and thinking about long term impact of our actions,heard about it in titas class but honestly i focus more on my coding projects so not very deep knowledge,quite positive i notice they stopped giving plastic straw in cafe which is small step but good start,4,i use public transport like lrt and feeder bus to come campus everyday instead of driving car,No,busy with assignment and deadlines so sustainability is not priority for most students,maybe can put qr code at trees so we can scan and learn about the species and importance of nature,hope to see more solar energy usage in the faculty buildings,simply means not being wasteful and thinking about long term impact of our actions heard about it in titas class but honestly i focus more on my coding projects so not very deep knowledge quite positive i notice they stopped giving plastic straw in cafe which is small step but good start i use public transport like lrt and feeder bus to come campus everyday instead of driving car busy with assignment and deadlines so sustainability is not priority for most students maybe can put qr code at trees so we can scan and learn about the species and importance of nature hope to see more solar energy usage in the faculty buildings,simply mean not being wasteful and thinking about long term impact of our action heard about it in titas class but honestly i focus more on my coding project so not very deep knowledge quite positive i notice they stopped giving plastic straw in cafe which is small step but good start i use public transport like lrt and feeder bus to come campus everyday instead of driving car busy with assignment and deadline so sustainability is not priority for most student maybe can put qr code at tree so we can scan and learn about the specie and importance of nature hope to see more solar energy usage in the faculty building,2,positive,"['SDG 2: Zero Hunger', 'SDG 4: Quality Education', 'SDG 7: Affordable and Clean Energy', 'SDG 11: Sustainable Cities and Communities', 'SDG 12: Responsible Consumption and Production', 'SDG 15: Life on Land']",simply mean wasteful thinking long term impact action heard titas class honestly focus coding project deep knowledge quite positive notice stopped giving plastic straw cafe small step good start use public transport like lrt feeder bus come campus everyday instead driving car busy assignment deadline sustainability priority student maybe qr code tree scan learn specie importance nature hope solar energy usage faculty building
"Yes, I agree",Faculty of Computer Science and Information Technology,Year 2,minimizing our carbon footprint while studying like using less electricity and paper,i recall seeing the logo on the um website but i don't know the specific targets for each goal,it is quite okay i see recycling bins around the faculty but not sure if people use them correctly,3,i try to switch off the lights in the discussion room when my group finishes using it,No,sometimes we are just rushing to class so we throw rubbish in the nearest bin regardless of label,install sensor lights in classrooms and toilets so electricity automatically off when nobody inside,maybe can have more talks about how tech can solve climate change,minimizing our carbon footprint while studying like using less electricity and paper i recall seeing the logo on the um website but i don't know the specific targets for each goal it is quite okay i see recycling bins around the faculty but not sure if people use them correctly i try to switch off the lights in the discussion room when my group finishes using it sometimes we are just rushing to class so we throw rubbish in the nearest bin regardless of label install sensor lights in classrooms and toilets so electricity automatically off when nobody inside maybe can have more talks about how tech can solve climate change,minimizing our carbon footprint while studying like using less electricity and paper i recall seeing the logo on the um website but i dont know the specific target for each goal it is quite okay i see recycling bin around the faculty but not sure if people use them correctly i try to switch off the light in the discussion room when my group finish using it sometimes we are just rushing to class so we throw rubbish in the nearest bin regardless of label install sensor light in classroom and toilet so electricity automatically off when nobody inside maybe can have more talk about how tech can solve climate change,2,positive,"['SDG 4: Quality Education', 'SDG 6: Clean Water and Sanitation', 'SDG 7: Affordable and Clean Energy', 'SDG 12: Responsible Consumption and Production', 'SDG 13: Climate Action']",minimizing carbon footprint studying like using electricity paper recall seeing logo um website dont know specific target goal quite okay recycling bin faculty sure people use correctly try switch light discussion room group finish using just rushing class throw rubbish nearest bin regardless label install sensor light classroom toilet electricity automatically inside maybe talk tech solve climate change
